
task1,doing
task2,doing
task3,doing
task4,doing
task5,doing
task6,doing
task7,doing
task8,doing
task9,doing
task10,doing
task11,doing
task12,doing
task13,doing
task14,doing
task15,doing
task16,doing
task17,doing
task18,doing
task19,doing
task20,doing
task21,doing
task22,doing
task23,doing
task24,doing
task25,doing
task26,doing
task27,doing
task28,doing
task29,doing
task30,doing
task31,doing
task32,doing
task33,doing
task34,doing
task35,doing
task36,doing
task37,doing
task38,doing
task39,doing
task40,doing
task41,doing
task42,doing
task43,doing
task44,doing
task45,doing
task46,doing
task47,doing
task48,doing
task49,doing
task50,doing
task51,doing
task52,doing
task53,doing
task54,doing
task55,doing
task56,doing
task57,doing
task58,doing
task59,doing
task60,doing
task61,doing
task62,doing
task63,doing
task64,doing
task65,doing
task66,doing
task67,doing
task68,doing
task69,doing
task70,doing
task71,doing
task72,doing
task73,doing
task74,doing
task75,doing
task76,doing
task77,doing
task78,doing
task79,doing
task80,doing
task81,doing
task82,doing
task83,doing
task84,doing
task85,doing
task86,doing
task87,doing
task88,doing
task89,doing
task90,doing
task91,doing
task92,doing
task93,doing
task94,doing
task95,doing
task96,doing
task97,doing
task98,doing
task99,doing
task100,doing
task101,todo
task102,todo
task103,todo
task104,todo
task105,todo
task106,todo
task107,todo
task108,todo
task109,todo
task110,todo
task111,todo
task112,todo
task113,todo
task114,todo
task115,todo
task116,todo
task117,todo
task118,todo
task119,todo
task120,todo
task121,todo
task122,todo
task123,todo
task124,todo
task125,todo
task126,todo
task127,todo
task128,todo
task129,todo
task130,todo
task131,todo
task132,todo
task133,todo
task134,todo
task135,todo
task136,todo
task137,todo
task138,todo
task139,todo
task140,todo
task141,todo
task142,todo
task143,todo
task144,todo
task145,todo
task146,todo
task147,todo
task148,todo
task149,todo
task150,todo
task151,todo
task152,todo
task153,todo
task154,todo
task155,todo
task156,todo
task157,todo
task158,todo
task159,todo
task160,todo
task161,todo
task162,todo
task163,todo
task164,todo
task165,todo
task166,todo
task167,todo
task168,todo
task169,todo
task170,todo
task171,todo
task172,todo
task173,todo
task174,todo
task175,todo
task176,todo
task177,todo
task178,todo
task179,todo
task180,todo
task181,todo
task182,todo
task183,todo
task184,todo
task185,todo
task186,todo
task187,todo
task188,todo
task189,todo
task190,todo
task191,todo
task192,todo
task193,todo
task194,todo
task195,todo
task196,todo
task197,todo
task198,todo
task199,todo
task200,todo
task201,done
task202,done
task203,done
task204,done
task205,done
task206,done
task207,done
task208,done
task209,done
task210,done
task211,done
task212,done
task213,done
task214,done
task215,done
task216,done
task217,done
task218,done
task219,done
task220,done
task221,done
task222,done
task223,done
task224,done
task225,done
task226,done
task227,done
task228,done
task229,done
task230,done
task231,done
task232,done
task233,done
task234,done
task235,done
task236,done
task237,done
task238,done
task239,done
task240,done
task241,done
task242,done
task243,done
task244,done
task245,done
task246,done
task247,done
task248,done
task249,done
task250,done
task251,done
task252,done
task253,done
task254,done
task255,done
task256,done
task257,done
task258,done
task259,done
task260,done
task261,done
task262,done
task263,done
task264,done
task265,done
task266,done
task267,done
task268,done
task269,done
task270,done
task271,done
task272,done
task273,done
task274,done
task275,done
task276,done
task277,done
task278,done
task279,done
task280,done
task281,done
task282,done
task283,done
task284,done
task285,done
task286,done
task287,done
task288,done
task289,done
task290,done
task291,done
task292,done
task293,done
task294,done
task295,done
task296,done
task297,done
task298,done
task299,done
task300,done
